stop_id,povp_delavnik_postanek,imena
402011,13.1227718360071,Hrvatski trg
402012,6.38411637382226,Hrvatski trg
402021,9.3861952710546,Poliklinika
402022,10.7186277227282,Poliklinika
402031,9.57474960465506,Klinični center
402032,10.6156379066032,Klinični center
402041,6.59882568837591,Bolnica
402042,12.2199255918705,Bolnica
402051,5.44439775910364,Glonarjeva
402052,5.08088235294118,Glonarjeva
402061,8.07042483660131,Gornje Poljane
402062,4.71237781826017,Gornje Poljane
403011,5.951088943736,Jana Husa
403012,5.68454715219421,Jana Husa
403021,5.69136321195145,Kodeljevo
403022,5.92979036787086,Kodeljevo
403023,9.69551510580922,Kodeljevo
403031,10.4813725490196,Pod Golovcem
403032,5.75882352941177,Pod Golovcem
403041,5.21875,Štepanja vas
403042,7.08461548771146,Štepanja vas
403043,5.5820057969712,Štepanja vas
403051,6.87454303011783,Emona
403052,8.47474349993992,Emona
403061,2.33333333333333,Rast
403062,4.36666666666667,Rast
403071,5.096875,Bilečanska
403072,7.53125,Bilečanska
404011,5.57773109243698,Hrušica
404012,4.96979166666667,Hrušica
404021,11.1444444444444,Cesta v Bizovik
404022,5.69404761904762,Cesta v Bizovik
404031,3,Dobrunje
404032,5.01190476190476,Dobrunje
404041,4.734375,Pošta Dobrunje
404042,4.38461538461539,Pošta Dobrunje
404051,6.16316526610644,KPL
404052,4.67888888888889,KPL
404061,5.63620448179272,Zadvor
404062,6.23214285714286,Zadvor
404071,5.0625,Cesta v Zavoglje
404072,4.125,Cesta v Zavoglje
404081,4.90636977401683,Križišče Sostro
404082,5.65625,Križišče Sostro
404083,6,Križišče Sostro
404084,3.05714285714286,Križišče Sostro
404092,10.25,Sostro
404093,,Sostro
404101,5.9375,Krožna pot
404102,4.97777777777778,Krožna pot
404111,3,Hruševska
404112,,Hruševska
404121,5.74509803921569,Bizovik
404122,5.52976190476191,Bizovik
404131,6.25,Dobrunje-2
404132,5.66666666666667,Dobrunje-2
404141,8.65277777777778,Pod Urhom
404142,6.3,Pod Urhom
404151,7.16666666666667,Zadvor-2
404152,4,Zadvor-2
404161,5.88888888888889,OŠ Sostro
404162,5.09259259259259,OŠ Sostro
404171,,Pod Sivnikom
404172,,Pod Sivnikom
404181,6.61904761904762,Dobrunjska c.
404182,11,Dobrunjska c.
404191,10,Pot heroja Trtnika
404192,9.66666666666667,Pot heroja Trtnika
405011,,Javor
405012,,Javor
405021,,Besnica
405022,3.5,Besnica
405031,,Besnica šola
405032,7,Besnica šola
405041,,Blaževo
405042,,Blaževo
405051,,Besnica ambulanta
405052,,Besnica ambulanta
405061,,Besnica kamnolom
405062,,Besnica kamnolom
405071,,Zg. Besnica
405072,2,Zg. Besnica
405081,,Hlebš
405082,,Hlebš
405091,5.5,Vnajnarje
405092,,Vnajnarje
405101,,Tinčk
405102,,Tinčk
405122,,Baron
406011,,Šemnikar
406012,,Šemnikar
406021,9.61538461538461,Trebeljevo
406022,4,Trebeljevo
406031,3.75,Prežganje
406032,4.75,Prežganje
406041,2,Prežganje šola
406042,4.83333333333333,Prežganje šola
406051,4.75,Smrekarjevo
406052,5,Smrekarjevo
406061,7.75,Volavlje
406062,7,Volavlje
406071,6.6,Lanišče
406072,,Lanišče
415011,,Sadinja vas
415012,3.33333333333333,Sadinja vas
415021,4,Podlipoglav
415022,8.66666666666667,Podlipoglav
415031,,Veliki Lipoglav
415032,,Veliki Lipoglav
415041,,Selo
415042,,Selo
415051,24,Pance
415052,2.66666666666667,Pance
415071,,Pri Dogonivar
415072,37,Pri Dogonivar
415081,21,Primožev ovinek
415082,,Primožev ovinek
415091,,Pri Dolencu
415092,,Pri Dolencu
425011,,Javor-2
425012,,Javor-2
500011,7.31369989100052,Tavčarjeva
501011,9.17765959530666,Ilirska
501012,9.24852941176471,Ilirska
501021,10.1854056513308,Zmajski most
501022,9.11027336151927,Zmajski most
501031,9.98395779057544,Lutkovno gl.
501032,8.85082564494329,Lutkovno gl.
502011,4.64140459112914,Poljanska
502012,5.39365968601714,Poljanska
